path	emotion
./emotion/기쁨/2_4356G1A6_5670G2A5_T1_2D09T0414C000348_025249_24.4_26.76.wav	기쁨
./emotion/슬픔/2_4082G2A4_4081G1A5_T1_2D01T0047C000187_018326_414.25_427.4.wav	슬픔
./emotion/두려움/2_4401G1A2_4399G2A2_T1_2D11T0473C000495_019547_241.74_243.57.wav	두려움
./emotion/사랑스러움/2_4552G2A4_4550G2A4_T1_2D02T0063C000218_020340_53.55_55.9.wav	사랑스러움
./emotion/화남/2_4657G1A2_4653G2A5_T1_2D05T0183C000177_020704_56.01_59.41.wav	화남
./emotion/슬픔/2_4563G2A4_4562G1A5_T1_2D08T0361C000345_020350_300.99_303.05.wav	슬픔
./emotion/두려움/2_3827G2A2_3828G2A2_T1_2D02T0079C000391_017232_485.45_491.05.wav	두려움
./emotion/놀라움/2_4772G2A5_4771G2A5_T1_2D02T0083C000387_021333_982.44_985.18.wav	놀라움
./emotion/기쁨/2_4182G2A2_4226G2A2_T1_2D06T0263C000154_019083_588.6_595.05.wav	기쁨
./emotion/기쁨/2_3836G2A2_3837G2A5_T1_2D09T0405C000385_017162_586.81_588.72.wav	기쁨
./emotion/놀라움/2_4145G2A5_4146G2A5_T1_2D01T0041C000383_018552_655.66_658.51.wav	놀라움
./emotion/슬픔/2_4562G1A5_4563G2A4_T1_2D09T0407C000221_020332_606.11_608.43.wav	슬픔
./emotion/기쁨/2_4699G2A2_4698G2A2_T1_2D03T0124C000280_020991_307.52_310.3.wav	기쁨
./emotion/화남/2_4306G2A2_4295G2A2_T1_2D10T0430C000206_026437_273.95_280.8.wav	화남
./emotion/기쁨/2_4040G2A4_4043G2A4_T1_2D05T0210C000394_019123_693.9_697.05.wav	기쁨
./emotion/화남/2_4092G2A4_4128G2A4_T1_2D10T0447C000419_018486_1036.7_1043.65.wav	화남
./emotion/놀라움/2_4382G2A4_4384G2A4_T1_2D01T0002C000447_020229_486.81_487.56.wav	놀라움
./emotion/놀라움/2_4290G2A4_4289G2A4_T1_2D06T0224C000460_023801_1000.83_1001.87.wav	놀라움
./emotion/슬픔/2_3877G2A3_3768G2A2_T1_2D11T0473C000347_018110_890.0_892.73.wav	슬픔
./emotion/화남/2_4295G2A2_4306G2A2_T1_2D11T0473C000255_025179_796.26_800.94.wav	화남
./emotion/기쁨/2_4521G2A4_4588G2A4_T1_2D03T0106C000219_020581_597.85_605.1.wav	기쁨
./emotion/두려움/2_3776G2A2_3777G2A5_T1_2D09T0398C000303_017123_614.09_615.66.wav	두려움
./emotion/놀라움/2_4039G2A5_4038G2A5_T1_2D03T0111C000442_018205_901.42_903.24.wav	놀라움
./emotion/놀라움/2_4588G2A4_4521G2A4_T1_2D03T0106C000360_020593_720.19_722.9.wav	놀라움
./emotion/놀라움/2_4588G2A4_4521G2A4_T1_2D03T0106C000291_021347_665.97_669.67.wav	놀라움
./emotion/사랑스러움/2_3980G2A3_3982G2A2_T1_2D10T0449C000280_018572_177.71_180.28.wav	사랑스러움
./emotion/기쁨/2_4610G2A2_4611G2A2_T1_2D09T0405C000250_026048_214.1_215.37.wav	기쁨
./emotion/놀라움/2_4145G2A5_4146G2A5_T1_2D11T0481C000194_018615_676.7_683.1.wav	놀라움
./emotion/놀라움/2_4218G2A2_4217G2A3_T1_2D08T0350C000197_019035_9.06_11.49.wav	놀라움
./emotion/놀라움/2_3982G2A2_3980G2A3_T1_2D05T0202C000270_018620_245.62_248.44.wav	놀라움
./emotion/화남/2_4772G2A5_4771G2A5_T1_2D05T0212C000390_021349_416.8_418.42.wav	화남
./emotion/화남/2_4285G2A4_4286G2A4_T1_2D11T0473C000344_019251_987.96_990.18.wav	화남
./emotion/사랑스러움/2_4678G2A5_4757G2A5_T1_2D02T0099C000454_021276_860.15_863.49.wav	사랑스러움
./emotion/기쁨/2_3918G2A3_3919G2A3_T1_2D08T0351C000538_017639_1139.59_1140.82.wav	기쁨
./emotion/두려움/2_4039G2A5_4038G2A5_T1_2D03T0111C000429_018195_415.2_416.64.wav	두려움
./emotion/화남/2_4772G2A5_4771G2A5_T1_2D05T0212C000390_021349_746.33_749.62.wav	화남
./emotion/기쁨/2_4356G1A6_5670G2A5_T1_2D09T0414C000348_025249_512.72_521.55.wav	기쁨
./emotion/슬픔/2_3877G2A3_3768G2A2_T1_2D11T0473C000347_018110_385.53_388.8.wav	슬픔
./emotion/기쁨/2_4433G2A3_4442G2A3_T1_2D10T0460C000482_019719_452.87_453.38.wav	기쁨
./emotion/사랑스러움/2_3898G2A4_3897G2A4_T1_2D02T0090C000457_017535_359.51_362.95.wav	사랑스러움
./emotion/화남/2_4298G2A2_4305G2A2_T1_2D05T0210C000186_025122_210.78_216.97.wav	화남
./emotion/기쁨/2_3776G2A2_3777G2A5_T1_2D09T0401C000291_017088_317.65_322.0.wav	기쁨
./emotion/놀라움/2_4290G2A4_4289G2A4_T1_2D06T0224C000460_023801_850.8_853.15.wav	놀라움
./emotion/화남/2_4040G2A4_4043G2A4_T1_2D05T0210C000394_019123_877.7_881.3.wav	화남
./emotion/두려움/2_4039G2A5_4038G2A5_T1_2D03T0111C000224_018211_61.78_63.42.wav	두려움
./emotion/슬픔/2_4290G2A4_4289G2A4_T1_2D11T0473C000205_023829_704.6_709.05.wav	슬픔
./emotion/기쁨/2_3836G2A2_3837G2A5_T1_2D09T0414C000338_017255_702.41_703.28.wav	기쁨
./emotion/화남/2_4306G2A2_4295G2A2_T1_2D10T0430C000206_026437_136.73_138.1.wav	화남
./emotion/기쁨/2_4082G2A4_4081G1A5_T1_2D06T0258C000199_018346_777.32_786.5.wav	기쁨
./emotion/슬픔/2_4581G2A5_4583G2A5_T1_2D05T0176C000288_020396_895.2_903.8.wav	슬픔
./emotion/슬픔/2_3918G2A3_3919G2A3_T1_2D08T0351C000544_017649_662.36_663.34.wav	슬픔
./emotion/놀라움/2_4788G2A5_4789G1A6_T1_2D06T0258C000132_021411_761.25_774.4.wav	놀라움
./emotion/화남/2_4540G2A5_4541G2A5_T1_2D11T0479C000461_020291_666.47_667.28.wav	화남
./emotion/화남/2_4040G2A4_4043G2A4_T1_2D05T0210C000394_019123_881.15_886.7.wav	화남
./emotion/화남/2_4040G2A4_4043G2A4_T1_2D05T0210C000394_019123_1480.75_1484.55.wav	화남
./emotion/슬픔/2_4082G2A4_4081G1A5_T1_2D09T0401C000301_018357_95.38_96.95.wav	슬픔
./emotion/놀라움/2_4421G2A5_4420G2A5_T1_2D10T0447C000458_019654_470.26_474.82.wav	놀라움
./emotion/화남/2_4580G1A2_4579G2A3_T1_2D05T0218C000331_020401_548.09_551.32.wav	화남
./emotion/두려움/2_3776G2A2_3777G2A5_T1_2D09T0398C000303_017123_65.18_68.69.wav	두려움
./emotion/기쁨/2_4584G2A2_4582G2A2_T1_2D06T0266C000263_020503_165.14_166.24.wav	기쁨
./emotion/화남/2_4576G2A3_4575G2A3_T1_2D05T0205C000590_020404_239.09_239.59.wav	화남
./emotion/두려움/2_3776G2A2_3777G2A5_T1_2D09T0398C000303_017123_589.28_591.43.wav	두려움
./emotion/기쁨/2_4563G2A4_4562G1A5_T1_2D03T0120C000154_020343_232.74_241.66.wav	기쁨
./emotion/사랑스러움/2_4224G2A2_4225G2A5_T1_2D03T0110C000291_022822_134.59_135.75.wav	사랑스러움
./emotion/화남/2_4295G2A2_4306G2A2_T1_2D11T0473C000255_025179_922.87_924.71.wav	화남
./emotion/화남/2_4420G2A5_4421G2A5_T1_2D10T0449C000165_019766_135.95_140.9.wav	화남
./emotion/기쁨/2_4563G2A4_4562G1A5_T1_2D03T0120C000154_020343_203.9_218.46.wav	기쁨
./emotion/화남/2_4562G1A5_4563G2A4_T1_2D03T0116C000343_020356_58.67_60.39.wav	화남
./emotion/화남/2_4652G2A4_4654G2A4_T1_2D01T0002C000236_021161_450.55_452.9.wav	화남
./emotion/화남/2_4285G2A4_4286G2A4_T1_2D11T0473C000344_019251_372.34_373.05.wav	화남
./emotion/화남/2_4576G2A3_4575G2A3_T1_2D05T0205C000590_020404_723.31_723.72.wav	화남
./emotion/놀라움/2_4053G2A5_4054G2A5_T1_2D03T0111C000418_018218_1080.93_1082.46.wav	놀라움
./emotion/화남/2_4155G2A5_4154G2A5_T1_2D08T0357C000466_019112_862.31_864.7.wav	화남
./emotion/사랑스러움/2_3897G2A4_3898G2A4_T1_2D09T0401C000431_017671_322.48_326.58.wav	사랑스러움
./emotion/놀라움/2_4423G2A4_4422G2A4_T1_2D09T0403C000209_019668_800.65_805.9.wav	놀라움
./emotion/화남/2_4554G2A4_4553G2A4_T1_2D02T0102C000537_020320_490.9_491.47.wav	화남
./emotion/화남/2_4807G2A5_4808G1A6_T1_2D09T0401C000093_021600_677.8_694.05.wav	화남
./emotion/기쁨/2_4155G2A5_4154G2A5_T1_2D08T0357C000429_019109_183.23_185.05.wav	기쁨
./emotion/놀라움/2_4421G2A5_4420G2A5_T1_2D10T0447C000458_019654_103.47_107.67.wav	놀라움
./emotion/사랑스러움/2_4224G2A2_4225G2A5_T1_2D03T0110C000291_022822_818.03_822.76.wav	사랑스러움
./emotion/기쁨/2_4610G2A2_4611G2A2_T1_2D10T0449C000111_025999_243.0_248.6.wav	기쁨
./emotion/기쁨/2_4668G2A5_4669G2A5_T1_2D06T0255C000543_020767_787.97_789.87.wav	기쁨
./emotion/기쁨/2_3918G2A3_3919G2A3_T1_2D08T0351C000538_017639_752.81_754.53.wav	기쁨
./emotion/화남/2_4040G2A4_4043G2A4_T1_2D05T0210C000394_019123_794.1_801.05.wav	화남
./emotion/사랑스러움/2_4224G2A2_4225G2A5_T1_2D03T0110C000291_022822_74.65_78.55.wav	사랑스러움
./emotion/슬픔/2_3918G2A3_3919G2A3_T1_2D08T0351C000544_017649_412.87_413.14.wav	슬픔
./emotion/기쁨/2_4057G2A4_4058G2A4_T1_2D06T0224C000260_018283_663.81_665.61.wav	기쁨
./emotion/기쁨/2_4637G2A2_4626G2A5_T1_2D06T0242C000364_020625_463.92_465.22.wav	기쁨
./emotion/기쁨/2_4422G2A4_4423G2A4_T1_2D09T0401C000473_019730_418.18_419.38.wav	기쁨
./emotion/화남/2_4554G2A4_4553G2A4_T1_2D02T0102C000537_020320_1025.97_1030.2.wav	화남
./emotion/슬픔/2_4788G2A5_4789G1A6_T1_2D06T0258C000132_021411_792.85_810.15.wav	슬픔
./emotion/놀라움/2_3982G2A2_3980G2A3_T1_2D05T0202C000270_018620_596.33_596.96.wav	놀라움
./emotion/화남/2_4772G2A5_4771G2A5_T1_2D05T0212C000390_021349_993.4_994.68.wav	화남
./emotion/화남/2_4772G2A5_4771G2A5_T1_2D05T0212C000390_021349_281.21_284.42.wav	화남
./emotion/두려움/2_4157G2A3_4156G2A3_T1_2D08T0374C000406_018731_502.87_509.12.wav	두려움
./emotion/기쁨/2_4149G2A2_4152G1A5_T1_2D06T0269C000544_018571_873.55_874.19.wav	기쁨
